ID,Question,Option A,Option B,Option C,Option D,Correct Answer
1,What is the capital of France?,London,Berlin,Madrid,Paris,D
2,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C
3,Who wrote 'To Kill a Mockingbird'?,Harper Lee,J.K. Rowling,Ernest Hemingway,F. Scott Fitzgerald,A
4,What is the chemical symbol for water?,O2,H2O,CO2,NaCl,B
5,Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C
6,What is the currency of Japan?,Yen,Dollar,Euro,Won,A
7,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Silver,C
8,Who is known as the 'Father of Computers'?,Albert Einstein,Charles Babbage,Isaac Newton,Thomas Edison,B
9,What is the main ingredient in guacamole?,Tomato,Avocado,Onion,Pepper,B
10,How many continents are there on Earth?,5,6,7,8,C
11,What is the capital city of Australia?,Sydney,Melbourne,Canberra,Brisbane,C
12,What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,B
13,Who developed the theory of relativity?,Nikola Tesla,Albert Einstein,Isaac Newton,Galileo Galilei,B
14,What is the smallest unit of life?,Atom,Cell,Molecule,Organ,B
15,What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
16,Who wrote '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,J.D. Salinger,A
17,What is the process by which plants make their food?,Respiration,Photosynthesis,Digestion,Fermentation,B
18,What is the main gas found in the air we breathe?,Oxygen,Hydrogen,Nitrogen,Carbon Dioxide,C
19,Who discovered penicillin?,Louis Pasteur,Alexander Fleming,Marie Curie,Gregor Mendel,B
20,What is the largest animal on Earth?,Elephant,Blue Whale,Great White Shark,Giraffe,B
21,What is the square root of 64?,6,7,8,9,C
22,What planet is known as the Red Planet?,Venus,Mars,Mercury,Saturn,B
23,Who was the first president of the United States?,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams,C
24,What is the largest bone in the human body?,Femur,Tibia,Humerus,Skull,A
25,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C
26,What element does 'O' represent on the periodic table?,Gold,Oxygen,Osmium,Iron,B
27,Who wrote 'Pride and Prejudice'?,Jane Austen,Emily Bronte,Charlotte Bronte,Mary Shelley,A
28,What is the most spoken language in the world?,English,Spanish,Mandarin Chinese,Hindi,C
29,What is the boiling point of water at sea level?,90∞C,100∞C,110∞C,120∞C,B
30,What is the chemical formula for table salt?,NaCl,KCl,MgCl2,CaCl2,A
